Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.2221,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.6184,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.8135,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.9761,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.8922,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.5422,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.9579,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.7577,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.9642,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.4698,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.9369,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.5421,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.9008,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.4779,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.7078,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.7951,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.9430,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220816_061500.wav
