Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1357,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1048,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1223,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1868,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2959,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1570,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.2272,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.3480,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.2453,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1517,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1155,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220816_104500.wav
