Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1971,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.2532,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1271,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.2411,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.8218,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1670,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.3990,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1811,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1085,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.2420,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2333,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.8095,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.3431,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220707_090000.wav
